ZIP Code,% Within City,Consumption,Month,Year
30310,0.99981447315587935,142268,Jun,2013
30311,0.98968586472132614,57454,Jun,2013
30312,1.0000000000001916,22213,Jun,2013
30313,0.99999999999862021,152705,Jun,2013
30314,0.99999999999993427,269602,Jun,2013
30315,0.9538606552735116,652225,Jun,2013
30316,0.28779358110687492,307142,Jun,2013
30317,0.85062336970878982,591883,Jun,2013
30318,0.99893940528767255,291842,Jun,2013
30319,0.1115094949667999,215886,Jun,2013
30324,0.75789451844754385,2329,Jun,2013
30326,1.0000000000002311,563481,Jun,2013
30327,0.62064230944238463,73999,Jun,2013
30331,0.53041280423651627,40254,Jun,2013
30336,6.8981224960983828E-2,98515,Jun,2013
30303,1.0000000000002018,16373,Jul,2013
30305,1.0000000000000955,118124,Jul,2013
30306,0.73382073673994308,365014,Jul,2013
30307,0.63471897963204738,12704,Jul,2013
30308,0.99999999999972766,80338,Jul,2013
30309,1.0000000000029903,189197,Jul,2013
30310,0.99981447315587935,133786,Jul,2013
30311,0.98968586472132614,55901,Jul,2013
30312,1.0000000000001916,23404,Jul,2013
30313,0.99999999999862021,157932,Jul,2013
30314,0.99999999999993427,288814,Jul,2013
30315,0.9538606552735116,695382,Jul,2013
30316,0.28779358110687492,306922,Jul,2013
30317,0.85062336970878982,604163,Jul,2013
30318,0.99893940528767255,79966,Jul,2013
30319,0.1115094949667999,237309,Jul,2013
30324,0.75789451844754385,2541,Jul,2013
30326,1.0000000000002311,556326,Jul,2013
30327,0.62064230944238463,70457,Jul,2013
30331,0.53041280423651627,42863,Jul,2013
30336,6.8981224960983828E-2,99825,Jul,2013
30303,1.0000000000002018,16422,Aug,2013
30305,1.0000000000000955,113558,Aug,2013
30306,0.73382073673994308,341072,Aug,2013
30307,0.63471897963204738,13170,Aug,2013
30308,0.99999999999972766,81103,Aug,2013
30309,1.0000000000029903,186351,Aug,2013
30310,0.99981447315587935,166772,Aug,2013
30311,0.98968586472132614,58351,Aug,2013
30312,1.0000000000001916,24058,Aug,2013
30313,0.99999999999862021,181286,Aug,2013
30314,0.99999999999993427,294704,Aug,2013
30315,0.9538606552735116,716124,Aug,2013
30316,0.28779358110687492,296769,Aug,2013
30317,0.85062336970878982,595301,Aug,2013
30318,0.99893940528767255,187426,Aug,2013
30319,0.1115094949667999,129019,Aug,2013
30324,0.75789451844754385,2200,Aug,2013
30326,1.0000000000002311,436851,Aug,2013
30327,0.62064230944238463,88969,Aug,2013
30331,0.53041280423651627,40975,Aug,2013
30336,6.8981224960983828E-2,98624,Aug,2013
30303,1.0000000000002018,16264,Sep,2013
30305,1.0000000000000955,100692,Sep,2013
30306,0.73382073673994308,315944,Sep,2013
30307,0.63471897963204738,14001,Sep,2013
30308,0.99999999999972766,84079,Sep,2013
30309,1.0000000000029903,187804,Sep,2013
30310,0.99981447315587935,149885,Sep,2013
30311,0.98968586472132614,57608,Sep,2013
30312,1.0000000000001916,25701,Sep,2013
30313,0.99999999999862021,191473,Sep,2013
30314,0.99999999999993427,278409,Sep,2013
30315,0.9538606552735116,699117,Sep,2013
30316,0.28779358110687492,298309,Sep,2013
30317,0.85062336970878982,616941,Sep,2013
30318,0.99893940528767255,294750,Sep,2013
30319,0.1115094949667999,231328,Sep,2013
